sp_noise_amount,accuracy
0.0,0.87109995
0.01,0.8613
0.02,0.8566
0.03,0.844
0.04,0.8373
0.05,0.8251
0.06,0.8092
0.07,0.7981
0.08,0.78819996
0.09,0.77989995
0.1,0.7657
0.11,0.75299996
0.12,0.7441
0.13,0.731
0.14,0.7195
0.15,0.7101
0.16,0.6969
0.17,0.6805
0.18,0.6709
0.19,0.6608
0.2,0.6465
0.21,0.6333
0.22,0.62149996
0.23,0.6148
0.24,0.59709996
0.25,0.5877
0.26,0.5773
0.27,0.56909996
0.28,0.5604
0.29,0.55689996
0.3,0.5473
0.31,0.5397
0.32,0.5351
0.33,0.527
0.34,0.52
0.35000000000000003,0.5087
0.36,0.5053
0.37,0.5038
0.38,0.4966
0.39,0.4924
0.4,0.4883
0.41000000000000003,0.4851
0.42,0.4851
0.43,0.4806
0.44,0.4799
0.45,0.47959998
0.46,0.4741
0.47000000000000003,0.4745
0.48,0.4746
0.49,0.47469997
0.5,0.4737
