sp_noise_amount,accuracy
0.0,0.7599
0.01,0.7608
0.02,0.75869995
0.03,0.7572
0.04,0.75369996
0.049999997,0.752
0.06,0.7529
0.07,0.7496
0.08,0.7489
0.089999996,0.74619997
0.099999994,0.7396
0.11,0.74009997
0.12,0.742
0.13,0.7337
0.14,0.72889996
0.14999999,0.7276
0.16,0.72459996
0.17,0.7169
0.17999999,0.7157
0.19,0.7125
0.19999999,0.7072
0.21,0.70419997
0.22,0.6987
0.22999999,0.69769996
0.24,0.689
0.25,0.6885
0.26,0.68329996
0.26999998,0.6823
0.28,0.6832
0.29,0.67689997
0.29999998,0.6699
0.31,0.6694
0.32,0.6644
0.32999998,0.662
0.34,0.66069996
0.35,0.6595
0.35999998,0.65599996
0.37,0.6558
0.38,0.6507
0.39,0.6505
0.39999998,0.64879996
0.41,0.6468
0.42,0.641
0.42999998,0.6476
0.44,0.6459
0.45,0.64269996
0.45999998,0.638
0.47,0.6415
0.48,0.63729995
0.48999998,0.64199996
0.5,0.64129996
