sp_noise_amount,accuracy
0.0,0.723
0.01,0.72429997
0.02,0.72459996
0.03,0.7244
0.04,0.72459996
0.049999997,0.7259
0.06,0.724
0.07,0.7222
0.08,0.7212
0.089999996,0.72069997
0.099999994,0.7186
0.11,0.7173
0.12,0.717
0.13,0.71419996
0.14,0.714
0.14999999,0.714
0.16,0.715
0.17,0.7104
0.17999999,0.71
0.19,0.71
0.19999999,0.70879996
0.21,0.706
0.22,0.7022
0.22999999,0.7008
0.24,0.7012
0.25,0.6987
0.26,0.6979
0.26999998,0.69729996
0.28,0.69659996
0.29,0.69049996
0.29999998,0.69
0.31,0.6881
0.32,0.6874
0.32999998,0.6832
0.34,0.6829
0.35,0.6785
0.35999998,0.6771
0.37,0.6782
0.38,0.67719996
0.39,0.6768
0.39999998,0.6756
0.41,0.6724
0.42,0.6688
0.42999998,0.67069995
0.44,0.6688
0.45,0.6677
0.45999998,0.6658
0.47,0.66899997
0.48,0.6696
0.48999998,0.6676
0.5,0.6662
