sp_noise_amount,accuracy
0.0,0.8451
0.01,0.8434
0.02,0.8405
0.03,0.838
0.04,0.83559996
0.049999997,0.8343
0.06,0.83019996
0.07,0.82659996
0.08,0.82049996
0.089999996,0.815
0.099999994,0.8118
0.11,0.8088
0.12,0.8009
0.13,0.797
0.14,0.78669995
0.14999999,0.7836
0.16,0.7737
0.17,0.768
0.17999999,0.7637
0.19,0.7525
0.19999999,0.7418
0.21,0.73719996
0.22,0.72459996
0.22999999,0.7201
0.24,0.71129996
0.25,0.70239997
0.26,0.6918
0.26999998,0.6859
0.28,0.6739
0.29,0.6652
0.29999998,0.6558
0.31,0.6459
0.32,0.6353
0.32999998,0.6336
0.34,0.6258
0.35,0.6145
0.35999998,0.6142
0.37,0.60429996
0.38,0.5977
0.39,0.59319997
0.39999998,0.5929
0.41,0.5887
0.42,0.5834
0.42999998,0.5812
0.44,0.5803
0.45,0.5729
0.45999998,0.56799996
0.47,0.5661
0.48,0.56979996
0.48999998,0.5712
0.5,0.56799996
