sp_noise_amount,accuracy
0.0,0.7572
0.01,0.7592
0.02,0.7575
0.03,0.7575
0.04,0.75519997
0.049999997,0.7542
0.06,0.7553
0.07,0.7538
0.08,0.7527
0.089999996,0.7521
0.099999994,0.7514
0.11,0.7509
0.12,0.7502
0.13,0.7468
0.14,0.7442
0.14999999,0.7421
0.16,0.7398
0.17,0.73789996
0.17999999,0.7346
0.19,0.7299
0.19999999,0.7277
0.21,0.7222
0.22,0.7197
0.22999999,0.7184
0.24,0.71419996
0.25,0.7069
0.26,0.7066
0.26999998,0.70269996
0.28,0.69769996
0.29,0.69269997
0.29999998,0.6903
0.31,0.6881
0.32,0.685
0.32999998,0.68149996
0.34,0.67579997
0.35,0.6737
0.35999998,0.6683
0.37,0.6671
0.38,0.6606
0.39,0.6597
0.39999998,0.6573
0.41,0.65709996
0.42,0.6505
0.42999998,0.65239996
0.44,0.6486
0.45,0.6484
0.45999998,0.6479
0.47,0.64449996
0.48,0.64169997
0.48999998,0.64629996
0.5,0.6432
