noise_amount,similarities
0.0,"[9.6392435e-01 0.0000000e+00 2.6624671e-44 ... 9.8639888e-38 3.2295600e-38
 9.9592322e-01]"
0.055555556,"[9.8430622e-01 0.0000000e+00 1.9398114e-29 ... 7.5718036e-27 5.4981371e-21
 9.5013434e-01]"
0.11111111,"[9.0053719e-01 0.0000000e+00 4.2091401e-29 ... 2.3923342e-32 2.9307114e-29
 9.9970329e-01]"
0.16666667,"[8.9388597e-01 0.0000000e+00 6.1111187e-40 ... 9.5436072e-33 1.2143653e-13
 9.1184640e-01]"
0.22222222,"[8.8770050e-01 0.0000000e+00 1.4859168e-35 ... 2.1059500e-34 6.0097193e-17
 9.9243116e-01]"
0.2777778,"[9.9435592e-01 0.0000000e+00 9.2864869e-19 ... 9.8463815e-08 2.5420250e-24
 9.6244997e-01]"
0.33333334,"[9.6856433e-01 0.0000000e+00 4.1401235e-30 ... 3.9163910e-40 5.2229008e-26
 9.7412163e-01]"
0.3888889,"[9.3974769e-01 0.0000000e+00 1.1019268e-06 ... 7.7501482e-13 3.5323705e-28
 9.3433630e-01]"
0.44444445,"[9.3648678e-01 0.0000000e+00 1.8592066e-29 ... 1.5114474e-12 4.3518161e-14
 9.7035944e-01]"
0.5,"[9.2534494e-01 0.0000000e+00 3.2631694e-21 ... 2.2542501e-16 2.8870196e-12
 9.0166289e-01]"
