noise_amount,similarities
0.0,"[9.7770303e-01 1.3782830e-24 4.2832481e-11 ... 2.9713437e-01 7.8186676e-02
 9.7900665e-01]"
0.055555556,"[9.7638345e-01 1.6948149e-20 9.7039148e-05 ... 2.9910114e-01 1.4668947e-01
 9.5060092e-01]"
0.11111111,"[9.5342463e-01 2.4679830e-04 6.7614049e-02 ... 1.5330417e-01 5.4823510e-02
 9.1951364e-01]"
0.16666667,"[9.3200338e-01 4.9343640e-13 9.0054556e-08 ... 5.0760478e-01 3.0293918e-01
 9.6020865e-01]"
0.22222222,"[9.3517083e-01 3.6590256e-05 1.7874312e-01 ... 4.4646731e-01 6.8968646e-02
 9.6406800e-01]"
0.2777778,"[9.6303666e-01 2.2679901e-04 1.8618360e-02 ... 2.0837989e-01 5.1728885e-06
 8.5956091e-01]"
0.33333334,"[9.4651508e-01 7.4140553e-05 1.7761256e-01 ... 1.4717190e-02 1.8194050e-02
 9.2285633e-01]"
0.3888889,[0.9615691  0.11346754 0.25267497 ... 0.11966049 0.08480845 0.9344496 ]
0.44444445,[0.9165664  0.04495813 0.08647978 ... 0.08902182 0.05598449 0.9245846 ]
0.5,[0.9268677  0.02956489 0.11324841 ... 0.6083056  0.10572767 0.9567505 ]
